fonte,step,epoch,batch,input_std,target_std,pred_std,pred_target_ratio
por_batch,48400,1,48400,0.0157,0.0154,0.0027,0.177
por_batch,48600,1,48600,0.0,0.0,0.0,0.0
por_batch,48800,1,48800,0.0,0.0,0.0,0.0
por_batch,49000,1,49000,0.0696,0.0637,0.0407,0.64
por_batch,49200,1,49200,0.068,0.0606,0.0304,0.502
por_batch,49400,1,49400,0.0149,0.0135,0.0031,0.226
por_batch,49600,1,49600,0.0066,0.0064,0.0008,0.121
por_batch,49800,1,49800,0.0084,0.008,0.001,0.121
por_batch,50000,1,50000,0.0589,0.0682,0.0153,0.225
por_batch,50200,1,50200,0.0134,0.0128,0.0017,0.136
por_batch,50400,1,50400,0.0054,0.0049,0.0023,0.472
por_batch,50600,1,50600,0.0043,0.0053,0.0008,0.146
por_batch,50800,1,50800,0.0043,0.004,0.0009,0.229
por_batch,51000,1,51000,0.0079,0.0086,0.0011,0.133
por_batch,51200,1,51200,0.04,0.0397,0.0123,0.311
por_batch,51400,1,51400,0.0,0.0,0.0,0.0
por_batch,51600,1,51600,0.0065,0.0063,0.0009,0.143
por_batch,51800,1,51800,0.0909,0.0886,0.0434,0.49
por_batch,52000,1,52000,0.0,0.0,0.0,0.0
por_batch,52200,1,52200,0.0115,0.0162,0.0017,0.108
por_batch,52400,1,52400,0.0472,0.0489,0.0162,0.331
por_batch,52600,1,52600,0.0271,0.027,0.0056,0.206
por_batch,52800,1,52800,0.0514,0.048,0.0141,0.294
por_batch,53000,1,53000,0.0065,0.0053,0.0006,0.105
por_batch,53200,1,53200,0.1138,0.1194,0.0415,0.348
por_batch,53400,1,53400,0.0943,0.0836,0.0266,0.318
por_batch,53600,1,53600,0.0027,0.0037,0.0003,0.068
por_batch,53800,1,53800,0.0481,0.0472,0.0151,0.319
por_batch,54000,1,54000,0.0219,0.0237,0.0006,0.023
por_batch,54200,1,54200,0.0107,0.0128,0.0014,0.111
por_batch,54400,1,54400,0.0583,0.063,0.0339,0.537
por_batch,54600,1,54600,0.0206,0.0208,0.0034,0.164
por_batch,54800,1,54800,0.0255,0.0338,0.0088,0.261
por_batch,55000,1,55000,0.0048,0.0044,0.0009,0.195
por_batch,55200,1,55200,0.0039,0.0037,0.0008,0.224
por_batch,55400,1,55400,0.0041,0.0039,0.001,0.266
por_batch,55600,1,55600,0.0034,0.0036,0.0008,0.218
por_batch,55800,1,55800,0.1014,0.107,0.0226,0.211
por_batch,56000,1,56000,0.0123,0.0151,0.0026,0.172
por_batch,56200,1,56200,0.0183,0.0199,0.0033,0.166
por_batch,56400,1,56400,0.0,0.0,0.0,0.0
por_batch,56600,1,56600,0.0039,0.0036,0.001,0.274
por_batch,56800,1,56800,0.0,0.0,0.0,0.0
por_batch,57000,1,57000,0.0098,0.0091,0.0009,0.097
por_batch,57200,1,57200,0.008,0.0092,0.0007,0.078
por_batch,57400,1,57400,0.0006,0.0008,0.0001,0.113
por_batch,57600,1,57600,0.0004,0.0005,0.0001,0.215
por_batch,57800,1,57800,0.0019,0.0016,0.0005,0.327
por_batch,58000,1,58000,0.0409,0.0381,0.013,0.342
por_batch,58200,1,58200,0.062,0.0638,0.0213,0.334
por_batch,58400,1,58400,0.0007,0.0009,0.0002,0.173
por_batch,58600,1,58600,0.0034,0.0045,0.0007,0.153
por_batch,58800,1,58800,0.0694,0.0529,0.0274,0.518
por_batch,59000,1,59000,0.0408,0.0442,0.016,0.361
por_batch,59200,1,59200,0.0085,0.0092,0.0007,0.076
por_batch,59400,1,59400,0.0003,0.0002,0.0,0.145
por_batch,59600,1,59600,0.0091,0.009,0.0007,0.074
por_batch,59800,1,59800,0.0319,0.0396,0.0052,0.131
por_batch,60000,1,60000,0.0012,0.001,0.0003,0.313
por_batch,60200,1,60200,0.0,0.0001,0.0,0.286
por_batch,60400,1,60400,0.0078,0.0069,0.0008,0.118
por_batch,60600,1,60600,0.0314,0.0275,0.002,0.072
por_batch,60800,1,60800,0.0115,0.0173,0.0012,0.067
por_batch,61000,1,61000,0.0087,0.0094,0.001,0.105
por_batch,61200,1,61200,0.0038,0.0031,0.0009,0.289
por_batch,61400,1,61400,0.0052,0.0058,0.0008,0.145
por_batch,61600,1,61600,0.0002,0.0002,0.0,0.131
